player,rank,tier,cliff,pct_drop,matches,modal_role,pred_pts_per_match,pred_season_total,mean_pts,median_pts,std_pts,floor_p10,ceiling_p90,cv,dud_rate,boom_rate,expected_games,games_confidence,batting_pts_pct,bowling_pts_pct,prev_total,gap,team_2025,typical_bat_pos,avg_overs_bowled
RK Singh,49,6,False,0.5,11,Lower Middle Bat,46.04977968247773,414.0,45.27272727272727,39.0,25.612851887639955,27.0,72.0,0.57,0.09,0.27,9.0,Medium,71.9,0.0,416.0,2.0,Kolkata Knight Riders,6.0,0.0
Harshit Rana,50,6,False,1.0,13,Pure Bowler,40.993455486241714,410.0,57.84615384615385,67.0,37.17491572249168,14.2,95.8,0.64,0.15,0.62,10.0,Medium,13.2,77.5,414.0,4.0,Kolkata Knight Riders,9.0,3.4
Ishan Kishan,51,6,False,0.5,14,Top Order Bat,37.0665649235609,408.0,55.85714285714285,23.0,70.17215878204024,5.3,161.6000000000001,1.26,0.36,0.36,11.0,Medium,80.1,0.0,410.0,2.0,Sunrisers Hyderabad,3.0,0.0
JJ Bumrah,52,6,False,0.7,12,Pure Bowler,44.98552952234239,405.0,70.66666666666667,54.5,48.16323255032796,19.3,136.10000000000002,0.68,0.08,0.42,9.0,Medium,0.0,89.2,408.0,3.0,Mumbai Indians,11.0,3.9
Ashutosh Sharma,53,6,False,1.7,10,Lower Middle Bat,49.77885831199181,398.0,43.2,29.0,42.17371482596977,5.9,84.89999999999998,0.98,0.2,0.3,8.0,Medium,82.9,0.0,405.0,7.0,Delhi Capitals,7.0,0.0
AK Markram,54,6,False,0.0,13,Opener,39.770397991837,398.0,84.3076923076923,80.0,53.95736683621094,22.6,152.4,0.64,0.08,0.69,10.0,Medium,73.1,13.8,398.0,0.0,Lucknow Super Giants,1.0,0.8
Abhishek Sharma,55,6,False,1.5,14,Opener,35.657538918863004,392.0,72.64285714285714,49.5,76.35907798820512,6.9,149.10000000000002,1.05,0.21,0.43,11.0,Medium,82.7,2.2,398.0,6.0,Sunrisers Hyderabad,1.0,0.8
PD Salt,56,6,False,1.5,13,Opener,38.5883893503301,386.0,73.76923076923077,66.0,49.67755000358789,20.0,139.60000000000002,0.67,0.08,0.54,10.0,Medium,82.5,0.0,392.0,6.0,Royal Challengers Bengaluru,1.0,0.0
AM Rahane,57,6,False,0.0,12,Top Order Bat,42.897364338704,386.0,68.16666666666667,62.0,35.15636069006143,31.2,122.8,0.52,0.0,0.58,9.0,Medium,86.3,0.0,386.0,0.0,Kolkata Knight Riders,3.0,0.0
B Kumar,58,7,False,2.3,14,Pure Bowler,34.26843998455965,377.0,54.21428571428572,49.0,31.598876736191286,21.6,82.7,0.58,0.07,0.29,11.0,Medium,2.4,86.0,386.0,9.0,Royal Challengers Bengaluru,9.0,3.7
Nithish Kumar Reddy,59,7,False,0.3,13,Middle Order Bat,37.639918274558624,376.0,36.38461538461539,37.0,21.65078313263541,7.200000000000001,61.60000000000001,0.6,0.23,0.15,10.0,Medium,59.2,16.3,377.0,1.0,Sunrisers Hyderabad,4.0,0.4
HV Patel,60,7,False,0.5,13,Pure Bowler,37.42723177744463,374.0,53.23076923076923,46.0,48.62467454244784,7.800000000000001,134.20000000000005,0.91,0.23,0.23,10.0,Medium,3.0,88.6,376.0,2.0,Sunrisers Hyderabad,9.0,3.4
KK Ahmed,61,7,False,0.8,14,Pure Bowler,33.725547131317875,371.0,47.42857142857143,46.5,36.67888574289927,6.0,84.70000000000002,0.77,0.36,0.36,11.0,Medium,0.2,91.4,374.0,3.0,Chennai Super Kings,11.0,3.3
M Shahrukh Khan,62,7,False,0.8,11,Middle Order Bat,40.85511235283188,368.0,40.36363636363637,24.0,34.929279200329134,16.0,78.0,0.87,0.09,0.27,9.0,Medium,71.4,7.0,371.0,3.0,Gujarat Titans,5.0,0.1
AR Patel,63,7,False,2.2,13,Batting AR,35.99444850648034,360.0,63.69230769230769,52.0,48.31905182462472,16.200000000000003,125.6,0.76,0.15,0.46,10.0,Medium,56.2,29.1,368.0,8.0,Delhi Capitals,5.0,2.8
WG Jacks,64,7,False,0.6,13,Other,35.7729957622326,358.0,57.76923076923077,40.0,46.77099144796527,12.6,126.0,0.81,0.15,0.38,10.0,Medium,54.2,29.3,360.0,2.0,Mumbai Indians,3.0,1.1
